"Datetime","Date","Time","Flag","Height","AboveJL","Baitsbite","Rain"
"25/02/2024 12:00:00","25/02/2024","12:00:00","Yellow","4.2","0.719","0.336","0"
"25/02/2024 13:00:00","25/02/2024","13:00:00","Yellow","4.2","0.719","0.244","0"
"25/02/2024 14:00:00","25/02/2024","14:00:00","Yellow","4.2","0.719","0.244","0"
"25/02/2024 15:00:00","25/02/2024","15:00:00","Yellow","4.2","0.709","0.245","0.02"
"25/02/2024 16:00:00","25/02/2024","16:00:00","Green","4.19","0.708","0.249","0"
"25/02/2024 17:00:00","25/02/2024","17:00:00","Green","4.19","0.708","0.249","0"
"25/02/2024 18:00:00","25/02/2024","18:00:00","Green","4.19","0.708","0.249","0"
"25/02/2024 19:00:00","25/02/2024","19:00:00","Green","4.12","0.733","0.25","0"
"25/02/2024 20:00:00","25/02/2024","20:00:00","Green","4.12","0.733","0.25","0"
"25/02/2024 21:00:00","25/02/2024","21:00:00","Green","4.12","0.733","0.25","0"
"25/02/2024 22:00:00","25/02/2024","22:00:00","Green","4.12","0.733","0.25","0"
"25/02/2024 23:00:00","25/02/2024","23:00:00","Yellow","4.12","0.733","0.25","0"
"26/02/2024 00:00:00","26/02/2024","00:00:00","Yellow","4.12","0.712","0.243","0"
"26/02/2024 01:00:00","26/02/2024","01:00:00","Yellow","4.12","0.712","0.243","0"
"26/02/2024 02:00:00","26/02/2024","02:00:00","Yellow","4.12","0.712","0.243","0"
"26/02/2024 03:00:00","26/02/2024","03:00:00","Yellow","4.12","0.712","0.243","0"
"26/02/2024 04:00:00","26/02/2024","04:00:00","Yellow","4.12","0.712","0.243","0"
"26/02/2024 05:00:00","26/02/2024","05:00:00","Yellow","4.12","0.712","0.243","0"
"26/02/2024 06:00:00","26/02/2024","06:00:00","Yellow","4.12","0.712","0.243","0"
"26/02/2024 07:00:00","26/02/2024","07:00:00","Green","3.99","0.709","0.231","0"
"26/02/2024 08:00:00","26/02/2024","08:00:00","Green","3.99","0.709","0.231","0"
"26/02/2024 13:00:00","26/02/2024","13:00:00","Yellow","4.1","0.74","0.271","0.01"
"26/02/2024 21:00:00","26/02/2024","21:00:00","Green","4.05","0.708","0.243","0"
"26/02/2024 22:00:00","26/02/2024","22:00:00","Green","4.05","0.708","0.243","0.01"
"26/02/2024 23:00:00","26/02/2024","23:00:00","Green","4.03","0.714","0.238","0"
"27/02/2024 00:00:00","27/02/2024","00:00:00","Green","4.03","0.714","0.238","0"
"27/02/2024 01:00:00","27/02/2024","01:00:00","Green","4.03","0.714","0.238","0.02"
"27/02/2024 02:00:00","27/02/2024","02:00:00","Green","4.03","0.714","0.238","0"
"27/02/2024 03:00:00","27/02/2024","03:00:00","Green","4.03","0.714","0.238","0"
"27/02/2024 04:00:00","27/02/2024","04:00:00","Green","4.03","0.714","0.238","0"
"27/02/2024 05:00:00","27/02/2024","05:00:00","Green","4.03","0.714","0.238","0"
"27/02/2024 06:00:00","27/02/2024","06:00:00","Green","4.01","0.71","0.238","0"
"27/02/2024 07:00:00","27/02/2024","07:00:00","Green","3.97","0.684","0.244","0"
"27/02/2024 08:00:00","27/02/2024","08:00:00","Green","3.97","0.684","0.244","0"
"27/02/2024 09:00:00","27/02/2024","09:00:00","Green","3.97","0.684","0.244","0"
"27/02/2024 10:00:00","27/02/2024","10:00:00","Green","3.97","0.684","0.244","0"
"27/02/2024 11:00:00","27/02/2024","11:00:00","Green","3.97","0.684","0.244","0"
"27/02/2024 12:00:00","27/02/2024","12:00:00","Green","3.97","0.684","0.244","0"
"27/02/2024 13:00:00","27/02/2024","13:00:00","Green","3.97","0.73","0.242","0"
"27/02/2024 14:00:00","27/02/2024","14:00:00","Green","3.99","0.73","0.242","0"
"27/02/2024 15:00:00","27/02/2024","15:00:00","Green","3.98","0.726","0.242","0"
"27/02/2024 16:00:00","27/02/2024","16:00:00","Green","3.98","0.726","0.242","0"
"27/02/2024 17:00:00","27/02/2024","17:00:00","Green","3.98","0.726","0.242","0"
"27/02/2024 18:00:00","27/02/2024","18:00:00","Green","3.98","0.726","0.242","0"
"27/02/2024 19:00:00","27/02/2024","19:00:00","Green","3.98","0.726","0.242","0"
"27/02/2024 20:00:00","27/02/2024","20:00:00","Green","3.98","0.726","0.242","0"
"27/02/2024 21:00:00","27/02/2024","21:00:00","Green","3.98","0.726","0.242","0"
"27/02/2024 22:00:00","27/02/2024","22:00:00","Green","3.98","0.726","0.242","0"
"27/02/2024 23:00:00","27/02/2024","23:00:00","Green","3.97","0.709","0.248","0"
"28/02/2024 00:00:00","28/02/2024","00:00:00","Green","3.97","0.711","0.248","0"
"28/02/2024 01:00:00","28/02/2024","01:00:00","Green","3.96","0.712","0.248","0"
"28/02/2024 02:00:00","28/02/2024","02:00:00","Green","3.96","0.712","0.248","0"
"28/02/2024 03:00:00","28/02/2024","03:00:00","Green","3.96","0.712","0.248","0"
"28/02/2024 04:00:00","28/02/2024","04:00:00","Green","3.96","0.712","0.248","0"
"28/02/2024 05:00:00","28/02/2024","05:00:00","Green","3.96","0.712","0.248","0.17"
"28/02/2024 06:00:00","28/02/2024","06:00:00","Green","3.96","0.711","0.246","0"
"28/02/2024 07:00:00","28/02/2024","07:00:00","Green","3.95","0.709","0.247","0"
"28/02/2024 08:00:00","28/02/2024","08:00:00","Green","3.95","0.709","0.247","0"
"28/02/2024 09:00:00","28/02/2024","09:00:00","Green","3.95","0.709","0.247","0"
"28/02/2024 10:00:00","28/02/2024","10:00:00","Green","3.95","0.709","0.247","0"
"28/02/2024 11:00:00","28/02/2024","11:00:00","Green","3.95","0.709","0.247","0"
"28/02/2024 12:00:00","28/02/2024","12:00:00","Green","3.95","0.709","0.247","0"
"28/02/2024 13:00:00","28/02/2024","13:00:00","Green","3.95","0.709","0.247","0"
"28/02/2024 14:00:00","28/02/2024","14:00:00","Green","3.95","0.709","0.367","0"
"28/02/2024 15:00:00","28/02/2024","15:00:00","Green","3.97","0.725","0.228","0"
"28/02/2024 16:00:00","28/02/2024","16:00:00","Green","3.97","0.725","0.228","0"
"28/02/2024 17:00:00","28/02/2024","17:00:00","Green","3.97","0.725","0.228","0"
"28/02/2024 18:00:00","28/02/2024","18:00:00","Green","3.97","0.725","0.228","0"
"28/02/2024 19:00:00","28/02/2024","19:00:00","Green","3.97","0.725","0.228","0"
"28/02/2024 20:00:00","28/02/2024","20:00:00","Green","3.97","0.725","0.228","0"
"28/02/2024 21:00:00","28/02/2024","21:00:00","Green","3.97","0.725","0.228","0"
"28/02/2024 22:00:00","28/02/2024","22:00:00","Green","3.97","0.725","0.228","0"
"28/02/2024 23:00:00","28/02/2024","23:00:00","Green","3.97","0.725","0.228","0"
"29/02/2024 00:00:00","29/02/2024","00:00:00","Green","3.95","0.721","0.245","0"
"29/02/2024 01:00:00","29/02/2024","01:00:00","Green","3.95","0.721","0.245","0"
"29/02/2024 02:00:00","29/02/2024","02:00:00","Green","3.95","0.721","0.245","0"
"29/02/2024 03:00:00","29/02/2024","03:00:00","Green","3.95","0.721","0.245","0.01"
"29/02/2024 04:00:00","29/02/2024","04:00:00","Green","3.95","0.721","0.245","0"
"29/02/2024 05:00:00","29/02/2024","05:00:00","Green","3.95","0.721","0.245","0"
"29/02/2024 06:00:00","29/02/2024","06:00:00","Green","3.95","0.721","0.245","0"
"29/02/2024 07:00:00","29/02/2024","07:00:00","Green","3.95","0.721","0.245","0.01"
"29/02/2024 08:00:00","29/02/2024","08:00:00","Green","3.95","0.717","0.24","0"
"29/02/2024 09:00:00","29/02/2024","09:00:00","Green","3.95","0.717","0.24","0"
"29/02/2024 10:00:00","29/02/2024","10:00:00","Green","3.95","0.717","0.24","0"
"29/02/2024 11:00:00","29/02/2024","11:00:00","Green","3.95","0.717","0.24","0"
"29/02/2024 12:00:00","29/02/2024","12:00:00","Green","3.95","0.717","0.24","0.01"
"29/02/2024 13:00:00","29/02/2024","13:00:00","Green","3.96","0.722","0.24","0"
"29/02/2024 14:00:00","29/02/2024","14:00:00","Green","3.96","0.722","0.24","0.02"
"29/02/2024 15:00:00","29/02/2024","15:00:00","Green","3.94","0.729","0.206","0.42"
"29/02/2024 16:00:00","29/02/2024","16:00:00","Green","3.94","0.729","0.206","0.68"
"29/02/2024 17:00:00","29/02/2024","17:00:00","Green","3.96","0.731","0.255","1.31"
"29/02/2024 18:00:00","29/02/2024","18:00:00","Green","3.97","0.731","0.255","1.32"
"29/02/2024 19:00:00","29/02/2024","19:00:00","Green","3.97","0.731","0.255","0.75"
"29/02/2024 20:00:00","29/02/2024","20:00:00","Green","3.97","0.731","0.255","0.06"
"29/02/2024 21:00:00","29/02/2024","21:00:00","Green","3.97","0.731","0.255","0.65"
"29/02/2024 22:00:00","29/02/2024","22:00:00","Green","3.97","0.731","0.255","1.17"
"29/02/2024 23:00:00","29/02/2024","23:00:00","Green","4","0.737","0.262","0.26"
"01/03/2024 00:00:00","01/03/2024","00:00:00","Green","4","0.737","0.262","0.07"
"01/03/2024 01:00:00","01/03/2024","01:00:00","Green","4","0.737","0.262","0.02"
"01/03/2024 02:00:00","01/03/2024","02:00:00","Green","4","0.737","0.262","0"
"01/03/2024 03:00:00","01/03/2024","03:00:00","Green","4","0.737","0.262","0"
"01/03/2024 04:00:00","01/03/2024","04:00:00","Green","4","0.737","0.262","0"
"01/03/2024 05:00:00","01/03/2024","05:00:00","Green","4","0.737","0.262","0"
"01/03/2024 06:00:00","01/03/2024","06:00:00","Green","4","0.737","0.262","0"
"01/03/2024 07:00:00","01/03/2024","07:00:00","Green","4.06","0.751","0.261","0"
"01/03/2024 08:00:00","01/03/2024","08:00:00","Green","4.07","0.751","0.261","0"
"01/03/2024 09:00:00","01/03/2024","09:00:00","Green","4.07","0.751","0.261","0"
"01/03/2024 10:00:00","01/03/2024","10:00:00","Green","4.07","0.751","0.261","0"
"01/03/2024 11:00:00","01/03/2024","11:00:00","Green","4.07","0.751","0.261","0"
"01/03/2024 12:00:00","01/03/2024","12:00:00","Green","4.07","0.751","0.261","0"
"01/03/2024 13:00:00","01/03/2024","13:00:00","Green","4.08","0.717","0.254","0"
"01/03/2024 14:00:00","01/03/2024","14:00:00","Green","4.08","0.733","0.259","0"
"01/03/2024 15:00:00","01/03/2024","15:00:00","Green","4.09","0.727","0.255","0.3"
"01/03/2024 16:00:00","01/03/2024","16:00:00","Green","4.09","0.722","0.249","0.68"
"01/03/2024 17:00:00","01/03/2024","17:00:00","Green","4.08","0.722","0.249","0.18"
"01/03/2024 18:00:00","01/03/2024","18:00:00","Green","4.08","0.722","0.249","0.1"
"01/03/2024 19:00:00","01/03/2024","19:00:00","Green","4.08","0.722","0.249","0.16"
"01/03/2024 20:00:00","01/03/2024","20:00:00","Green","4.08","0.712","0.242","0.2"
"01/03/2024 21:00:00","01/03/2024","21:00:00","Green","4.08","0.711","0.243","0"
"01/03/2024 22:00:00","01/03/2024","22:00:00","Green","4.07","0.711","0.243","0"
"01/03/2024 23:00:00","01/03/2024","23:00:00","Green","4.06","0.71","0.246","0"
"02/03/2024 00:00:00","02/03/2024","00:00:00","Green","4.06","0.71","0.246","0"
"02/03/2024 01:00:00","02/03/2024","01:00:00","Green","4.06","0.71","0.246","0"
"02/03/2024 02:00:00","02/03/2024","02:00:00","Green","4.06","0.71","0.246","0"
"02/03/2024 03:00:00","02/03/2024","03:00:00","Green","4.06","0.71","0.246","0"
"02/03/2024 04:00:00","02/03/2024","04:00:00","Green","4.06","0.71","0.246","0.45"
"02/03/2024 05:00:00","02/03/2024","05:00:00","Green","4.06","0.71","0.246","0"
"02/03/2024 06:00:00","02/03/2024","06:00:00","Green","4.06","0.71","0.246","0"
"02/03/2024 07:00:00","02/03/2024","07:00:00","Green","4.06","0.71","0.246","0"
"02/03/2024 08:00:00","02/03/2024","08:00:00","Green","4.07","0.714","0.255","0"
"02/03/2024 09:00:00","02/03/2024","09:00:00","Green","4.08","0.714","0.255","0"
"02/03/2024 10:00:00","02/03/2024","10:00:00","Green","4.08","0.714","0.255","0.01"
"02/03/2024 11:00:00","02/03/2024","11:00:00","Green","4.08","0.714","0.255","0"
"02/03/2024 12:00:00","02/03/2024","12:00:00","Green","4.08","0.714","0.255","0"
"02/03/2024 13:00:00","02/03/2024","13:00:00","Green","4.08","0.714","0.255","0.01"
"02/03/2024 14:00:00","02/03/2024","14:00:00","Green","4.08","0.714","0.255","0.01"
"02/03/2024 15:00:00","02/03/2024","15:00:00","Green","4.08","0.714","0.255","0"
"02/03/2024 16:00:00","02/03/2024","16:00:00","Green","4.08","0.71","0.245","0"
"02/03/2024 17:00:00","02/03/2024","17:00:00","Green","4.08","0.71","0.245","0.06"
"02/03/2024 18:00:00","02/03/2024","18:00:00","Green","4.08","0.71","0.245","0.65"
"02/03/2024 19:00:00","02/03/2024","19:00:00","Green","4.08","0.71","0.245","0.07"
"02/03/2024 20:00:00","02/03/2024","20:00:00","Green","4.08","0.71","0.245","0"
"02/03/2024 21:00:00","02/03/2024","21:00:00","Green","4.08","0.71","0.245","0"
"02/03/2024 22:00:00","02/03/2024","22:00:00","Green","4.08","0.71","0.245","0.27"
"02/03/2024 23:00:00","02/03/2024","23:00:00","Green","4.05","0.713","0.249","0"
"03/03/2024 00:00:00","03/03/2024","00:00:00","Green","4.05","0.713","0.249","0"
"03/03/2024 01:00:00","03/03/2024","01:00:00","Green","4.05","0.713","0.249","0"
"03/03/2024 02:00:00","03/03/2024","02:00:00","Green","4.05","0.713","0.249","0"
"03/03/2024 03:00:00","03/03/2024","03:00:00","Green","4.05","0.713","0.249","0"
"03/03/2024 04:00:00","03/03/2024","04:00:00","Green","4.05","0.713","0.249","0"
"03/03/2024 05:00:00","03/03/2024","05:00:00","Green","4.05","0.713","0.249","0"
"03/03/2024 06:00:00","03/03/2024","06:00:00","Green","4.05","0.713","0.249","0"
"03/03/2024 07:00:00","03/03/2024","07:00:00","Green","4.05","0.713","0.249","0"
"03/03/2024 08:00:00","03/03/2024","08:00:00","Green","4.07","0.733","0.262","0"
"03/03/2024 09:00:00","03/03/2024","09:00:00","Green","4.07","0.733","0.262","0"
"03/03/2024 10:00:00","03/03/2024","10:00:00","Green","4.07","0.733","0.262","0"
"03/03/2024 11:00:00","03/03/2024","11:00:00","Green","4.07","0.733","0.262","0"
"03/03/2024 12:00:00","03/03/2024","12:00:00","Green","4.07","0.733","0.262","0"
"03/03/2024 13:00:00","03/03/2024","13:00:00","Green","4.07","0.733","0.262","0"
"03/03/2024 14:00:00","03/03/2024","14:00:00","Green","4.07","0.733","0.262","0"
"03/03/2024 15:00:00","03/03/2024","15:00:00","Green","4.07","0.733","0.262","0"
"03/03/2024 16:00:00","03/03/2024","16:00:00","Green","4.06","0.722","0.247","0"
"03/03/2024 17:00:00","03/03/2024","17:00:00","Green","4.06","0.722","0.247","0"
"03/03/2024 18:00:00","03/03/2024","18:00:00","Green","4.06","0.722","0.247","0"
"03/03/2024 19:00:00","03/03/2024","19:00:00","Green","4.06","0.722","0.247","0"
"03/03/2024 20:00:00","03/03/2024","20:00:00","Green","4.06","0.722","0.247","0"
"03/03/2024 21:00:00","03/03/2024","21:00:00","Green","4.06","0.722","0.247","0"
"03/03/2024 22:00:00","03/03/2024","22:00:00","Green","4.06","0.722","0.247","0"
"03/03/2024 23:00:00","03/03/2024","23:00:00","Green","4.06","0.722","0.247","0"
"04/03/2024 00:00:00","04/03/2024","00:00:00","Green","4.04","0.709","0.242","0"
"04/03/2024 01:00:00","04/03/2024","01:00:00","Green","4.04","0.709","0.242","0"
"04/03/2024 02:00:00","04/03/2024","02:00:00","Green","4.04","0.709","0.242","0"
"04/03/2024 03:00:00","04/03/2024","03:00:00","Green","4.04","0.709","0.242","0"
"04/03/2024 04:00:00","04/03/2024","04:00:00","Green","4.04","0.709","0.242","0"
"04/03/2024 05:00:00","04/03/2024","05:00:00","Green","4.04","0.709","0.242","0"
"04/03/2024 06:00:00","04/03/2024","06:00:00","Green","4.04","0.709","0.242","0"
"04/03/2024 07:00:00","04/03/2024","07:00:00","Green","4.04","0.709","0.242","0"
"04/03/2024 08:00:00","04/03/2024","08:00:00","Green","4.04","0.703","0.24","0"
"04/03/2024 09:00:00","04/03/2024","09:00:00","Green","4.02","0.703","0.24","0"
"04/03/2024 10:00:00","04/03/2024","10:00:00","Green","4.02","0.703","0.24","0"
"04/03/2024 11:00:00","04/03/2024","11:00:00","Green","4.02","0.703","0.24","0"
"04/03/2024 12:00:00","04/03/2024","12:00:00","Green","4.02","0.703","0.24","0"
"04/03/2024 13:00:00","04/03/2024","13:00:00","Green","4.02","0.703","0.24","0"
"04/03/2024 14:00:00","04/03/2024","14:00:00","Green","4.02","0.703","0.24","0"
"04/03/2024 15:00:00","04/03/2024","15:00:00","Green","4.03","0.706","0.256","0"
"04/03/2024 16:00:00","04/03/2024","16:00:00","Green","4.03","0.706","0.256","0"
"04/03/2024 17:00:00","04/03/2024","17:00:00","Green","4.03","0.706","0.256","0"
"04/03/2024 18:00:00","04/03/2024","18:00:00","Green","4.03","0.706","0.256","0"
"04/03/2024 19:00:00","04/03/2024","19:00:00","Green","4.03","0.706","0.256","0"
"04/03/2024 20:00:00","04/03/2024","20:00:00","Green","4.03","0.706","0.256","0"
"04/03/2024 21:00:00","04/03/2024","21:00:00","Green","4.03","0.706","0.256","0"
"04/03/2024 22:00:00","04/03/2024","22:00:00","Green","4.03","0.706","0.256","0"
"04/03/2024 23:00:00","04/03/2024","23:00:00","Green","4.01","0.715","0.239","0"
"05/03/2024 00:00:00","05/03/2024","00:00:00","Green","4.01","0.715","0.239","0"
"05/03/2024 01:00:00","05/03/2024","01:00:00","Green","4.01","0.715","0.239","0"
"05/03/2024 02:00:00","05/03/2024","02:00:00","Green","4.01","0.715","0.239","0"
"05/03/2024 03:00:00","05/03/2024","03:00:00","Green","4.01","0.715","0.239","0"
"05/03/2024 04:00:00","05/03/2024","04:00:00","Green","4.01","0.715","0.239","0"
"05/03/2024 05:00:00","05/03/2024","05:00:00","Green","4.01","0.715","0.239","0"
"05/03/2024 06:00:00","05/03/2024","06:00:00","Green","4.01","0.715","0.239","0"
"05/03/2024 07:00:00","05/03/2024","07:00:00","Green","4.03","0.716","0.246","0.27"
"05/03/2024 08:00:00","05/03/2024","08:00:00","Green","4.03","0.716","0.246","0.53"
"05/03/2024 09:00:00","05/03/2024","09:00:00","Green","4.03","0.716","0.246","0.4"
"05/03/2024 10:00:00","05/03/2024","10:00:00","Green","4.03","0.716","0.246","0.11"
"05/03/2024 11:00:00","05/03/2024","11:00:00","Green","4.03","0.716","0.246","0.11"
"05/03/2024 12:00:00","05/03/2024","12:00:00","Green","4.03","0.716","0.246","0.76"
"05/03/2024 13:00:00","05/03/2024","13:00:00","Green","4.03","0.716","0.246","1"
"05/03/2024 14:00:00","05/03/2024","14:00:00","Green","4.03","0.716","0.246","0.59"
"05/03/2024 15:00:00","05/03/2024","15:00:00","Green","4.02","0.723","0.258","0.01"
"05/03/2024 16:00:00","05/03/2024","16:00:00","Green","4.02","0.723","0.258","0"
"05/03/2024 17:00:00","05/03/2024","17:00:00","Green","4.02","0.723","0.258","0"
"05/03/2024 18:00:00","05/03/2024","18:00:00","Green","4.02","0.723","0.258","0"
"05/03/2024 19:00:00","05/03/2024","19:00:00","Green","4.02","0.723","0.258","0.02"
"05/03/2024 20:00:00","05/03/2024","20:00:00","Green","4.02","0.723","0.258","0"
"05/03/2024 21:00:00","05/03/2024","21:00:00","Green","4.02","0.723","0.258","0"
"05/03/2024 22:00:00","05/03/2024","22:00:00","Green","4.02","0.723","0.258","0"
"05/03/2024 23:00:00","05/03/2024","23:00:00","Green","4.02","0.718","0.256","0"
"06/03/2024 00:00:00","06/03/2024","00:00:00","Green","4.02","0.717","0.256","0"
"06/03/2024 01:00:00","06/03/2024","01:00:00","Green","4.01","0.717","0.256","0"
"06/03/2024 02:00:00","06/03/2024","02:00:00","Green","4.01","0.717","0.256","0"
"06/03/2024 03:00:00","06/03/2024","03:00:00","Green","4.01","0.717","0.256","0"
"06/03/2024 04:00:00","06/03/2024","04:00:00","Green","4.01","0.717","0.256","0"
"06/03/2024 05:00:00","06/03/2024","05:00:00","Green","4.01","0.717","0.256","0"
"06/03/2024 06:00:00","06/03/2024","06:00:00","Green","4.01","0.717","0.256","0"
"06/03/2024 07:00:00","06/03/2024","07:00:00","Green","4","0.717","0.241","0"
"06/03/2024 08:00:00","06/03/2024","08:00:00","Green","4","0.717","0.241","0"
"06/03/2024 09:00:00","06/03/2024","09:00:00","Green","4","0.717","0.241","0"
"06/03/2024 10:00:00","06/03/2024","10:00:00","Green","4","0.717","0.241","0"
"06/03/2024 11:00:00","06/03/2024","11:00:00","Green","4","0.717","0.241","0"
"06/03/2024 12:00:00","06/03/2024","12:00:00","Green","4","0.717","0.241","0"
"06/03/2024 13:00:00","06/03/2024","13:00:00","Green","4","0.717","0.241","0"
"06/03/2024 14:00:00","06/03/2024","14:00:00","Green","4","0.717","0.241","0"
"06/03/2024 15:00:00","06/03/2024","15:00:00","Green","3.98","0.725","0.239","0"
"06/03/2024 16:00:00","06/03/2024","16:00:00","Green","3.98","0.725","0.239","0"
"06/03/2024 17:00:00","06/03/2024","17:00:00","Green","3.98","0.725","0.239","0"
"06/03/2024 18:00:00","06/03/2024","18:00:00","Green","3.98","0.725","0.239","0"
"06/03/2024 19:00:00","06/03/2024","19:00:00","Green","3.98","0.725","0.239","0"
"06/03/2024 20:00:00","06/03/2024","20:00:00","Green","3.98","0.725","0.239","0"
"06/03/2024 21:00:00","06/03/2024","21:00:00","Green","3.98","0.725","0.239","0"
"06/03/2024 22:00:00","06/03/2024","22:00:00","Green","3.98","0.725","0.239","0"
"06/03/2024 23:00:00","06/03/2024","23:00:00","Green","3.98","0.726","0.237","0"
"07/03/2024 00:00:00","07/03/2024","00:00:00","Green","3.98","0.726","0.237","0"
"07/03/2024 01:00:00","07/03/2024","01:00:00","Green","3.98","0.726","0.237","0"
"07/03/2024 02:00:00","07/03/2024","02:00:00","Green","3.98","0.726","0.237","0"
"07/03/2024 03:00:00","07/03/2024","03:00:00","Green","3.98","0.726","0.237","0"
"07/03/2024 04:00:00","07/03/2024","04:00:00","Green","3.98","0.726","0.237","0"
"07/03/2024 05:00:00","07/03/2024","05:00:00","Green","3.98","0.726","0.237","0"
"07/03/2024 06:00:00","07/03/2024","06:00:00","Green","3.98","0.726","0.237","0"
"07/03/2024 07:00:00","07/03/2024","07:00:00","Green","3.97","0.714","0.243","0"
"07/03/2024 08:00:00","07/03/2024","08:00:00","Green","3.97","0.714","0.243","0"
"07/03/2024 09:00:00","07/03/2024","09:00:00","Green","3.97","0.714","0.243","0"
"07/03/2024 10:00:00","07/03/2024","10:00:00","Green","3.97","0.714","0.282","0"
"07/03/2024 11:00:00","07/03/2024","11:00:00","Green","3.97","0.714","0.282","0"
"07/03/2024 12:00:00","07/03/2024","12:00:00","Green","3.97","0.714","0.282","0"
"07/03/2024 13:00:00","07/03/2024","13:00:00","Green","3.97","0.714","0.282","0"
"07/03/2024 14:00:00","07/03/2024","14:00:00","Green","3.97","0.714","0.282","0"
"07/03/2024 15:00:00","07/03/2024","15:00:00","Green","4.01","0.726","0.277","0"
"07/03/2024 16:00:00","07/03/2024","16:00:00","Green","4.01","0.726","0.277","0"
